7892609,7894646,7895847,7910752,7912937,7947590,7968417,8016832,8024557,8025672,8036830,8036923,8051773,8057711,8078155,8091922,8108205,8113467,8134463,8135080,8135172,8139921,8150757,8150988,8157381,8158224,8166690,8180374,Class
3.50121,5.33128,10.657,8.94102,10.0394,9.83155,10.4683,10.749,10.7355,10.8165,8.91156,9.83136,7.36128,3.03548,8.36107,7.04383,5.82632,7.56731,9.52181,10.1901,9.29617,8.90445,9.35838,9.0168,6.64517,9.44347,6.11707,7.57535,'Temporal cortex of non-AD brain'
1.75295,5.11815,10.3162,9.03261,9.92406,9.92236,10.5229,10.8175,10.5699,10.973,9.16807,9.93492,7.37186,3.23277,8.28727,6.55076,5.8436,7.84081,9.93981,10.3857,9.376,9.23636,9.33521,8.90997,6.98861,9.52909,6.06918,7.32293,'Temporal cortex of non-AD brain'
4.76416,5.52416,10.503,9.21398,10.25,9.83775,10.3368,10.739,10.6726,11.209,8.87692,9.78559,7.6762,3.05459,8.94578,7.17494,5.54395,7.67095,10.4301,10.4839,9.60257,8.98133,9.34241,8.88813,6.56954,9.2513,6.17951,7.68375,'Temporal cortex of non-AD brain'
2.55099,5.19942,10.4822,8.8201,9.78654,9.56615,10.3757,10.3875,10.724,11.1465,8.75992,9.81561,7.38844,3.02295,8.7775,6.95708,6.00789,7.63888,9.2974,10.1724,9.35193,9.03782,9.00481,8.85255,6.94628,9.23589,6.82042,7.84059,'Temporal cortex of non-AD brain'
3.703,5.50335,10.5683,8.79345,10.8003,9.83134,10.7355,9.67243,10.817,10.2482,8.90383,9.49893,7.27888,3.08756,8.96767,6.68897,5.82091,7.59971,10.101,9.58434,9.60806,9.63913,9.45878,8.2858,6.64306,9.17695,5.85513,7.58794,'Temporal cortex of non-AD brain'
1.87352,5.07524,10.4845,9.11833,9.72369,9.34499,10.5781,10.8048,10.6494,10.43,8.81405,9.83372,7.43263,3.07143,8.38128,6.83166,5.82939,7.78204,10.1505,10.0354,9.72343,9.02141,9.30754,8.80914,6.65605,9.43473,6.1409,7.60669,'Temporal cortex of non-AD brain'
2.66717,5.96209,10.3107,9.00105,9.96464,9.45618,10.204,10.5129,10.4966,11.2095,8.69995,9.77485,7.24855,2.98037,8.96716,7.03965,5.77186,7.75195,9.30643,10.1996,9.0296,9.08113,9.29137,9.39581,6.67294,9.24998,6.11062,7.76547,'Temporal cortex of non-AD brain'
3.2496,5.86741,10.2432,8.74295,9.51791,9.61554,10.4447,11.0259,10.6755,10.6601,9.3337,9.80099,7.58691,3.09267,7.88716,6.61959,6.25218,7.71119,10.5921,9.96856,9.46864,9.31558,9.2801,8.99044,7.17598,9.34128,5.84106,7.34129,'Temporal cortex of non-AD brain'
3.56123,5.77846,10.6502,8.86564,9.60571,9.72673,10.4671,11.14,10.5069,10.9023,8.93361,9.78333,7.39897,3.38195,8.2935,6.86894,6.18691,7.714,10.0923,10.119,9.14798,9.2685,9.29517,8.9172,6.79152,9.30628,6.10871,7.64231,'Temporal cortex of non-AD brain'
3.78008,5.07505,10.4504,8.66962,9.77693,9.82852,10.4765,10.9832,10.667,10.4933,9.11231,9.98224,7.26911,3.1204,7.91575,6.94547,5.91793,7.51246,9.51519,10.2505,9.48399,9.30731,9.34291,8.89755,6.45032,9.46849,5.47564,7.23764,'Temporal cortex of non-AD brain'
3.94399,5.8575,10.4437,9.0203,9.98463,9.82827,10.4313,10.5556,10.639,11.1451,8.77573,9.827,7.61081,2.95375,8.69058,6.80381,6.05639,7.42369,9.37493,10.1264,8.82371,8.98593,9.5913,8.86216,6.62009,9.36879,6.44055,7.71369,'Temporal cortex of non-AD brain'
1.31685,5.46614,10.185,8.87951,9.96758,9.83497,10.6719,10.8472,10.7228,11.0832,8.78154,9.66935,7.47428,3.1204,8.17932,7.26468,5.95398,7.65931,10.0608,10.0884,9.20108,9.08382,9.67022,8.9614,6.85699,9.38015,6.35304,7.71401,'Temporal cortex of non-AD brain'
